MES_REFERENCIA;COD_PERF_AGENTE;SIGLA_PERFIL_AGENTE;NOME_EMPRESARIAL;COD_PARCELA_CARGA;SIGLA_PARCELA_CARGA;CNPJ_CARGA;CIDADE;ESTADO_UF;RAMO_ATIVIDADE;SUBMERCADO;DATA_MIGRACAO;COD_PERF_AGENTE_CONECTADO;SIGLA_PERFIL_AGENTE_CONECTADO;CAPACIDADE_CARGA;CONSUMO_ACL;CONSUMO_CATIVO_PARC_LIVRE;CONSUMO_TOTAL
202512;99234;COAPIL;COOPERATIVA AGROPECUARIA MISTA DE PIRACANJUBA - COAPIL;942365;COAPIL;02447928000144;PIRACANJUBA;GO;COMÉRCIO;SUDESTE;01/02/2021;15;CELG;0.8;36.840834;0.0;36.840834
202512;99611;DAUS CL 514;DAUS INDUSTRIA DE ALIMENTOS S.A.;909739;DAUS;04865228000103;RIO VERDE;GO;ALIMENTÍCIOS;SUDESTE;01/07/2017;15;CELG;1.545;830.196924;0.0;830.196924
202512;99292;COMIGO-MATRIZ LIVRE;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO;1001673;COMIGO SERRANÓPOLIS;02077618005730;SERRANÓPOLIS;GO;SERVIÇOS;SUDESTE;01/02/2025;15;CELG;1.0;1.159873;0.0;1.159873
202512;198239;AGUAS LINDAS PART CL;AGUAS LINDAS PARTICIPACOES E EMPREENDIMENTOS LTDA;905806;AGUAS LINDAS PARTICI;12541540000161;ÁGUA LINDAS DE GOIÁS;GO;SERVIÇOS;SUDESTE;01/11/2016;15;CELG;0.635;230.872444;0.0;230.872444
202512;48657;SANEAGO LIVRE;SANEAMENTO DE GOIAS S/A;951019;EEAB ETA e EEAT - Ja;01616929000102;JATAÍ;GO;SANEAMENTO;SUDESTE;01/03/2022;15;CELG;0.753;477.043597;0.0;477.043597
202512;48657;SANEAGO LIVRE;SANEAMENTO DE GOIAS S/A;959429;SANEAGO - EEAT Vila;01616929000102;GOIÂNIA;GO;SANEAMENTO;SUDESTE;01/03/2023;15;CELG;1.205;544.434392;0.0;544.434392
202512;30493;SANEAGO;SANEAMENTO DE GOIAS S/A;981368;SANEAGO - UC 1060003;01616929000102;CRISTALINA;GO;SANEAMENTO;SUDESTE;01/07/2024;15;CELG;0.238;139.847311;0.0;139.847311
202512;30493;SANEAGO;SANEAMENTO DE GOIAS S/A;977812;SANEAGO - UC 2960089;01616929000102;PLANALTINA;GO;SANEAMENTO;SUDESTE;01/05/2024;15;CELG;0.565;372.046736;0.0;372.046736
202512;44979;BISNAGO CL;BISNAGO INDUSTRIA DE EMBALAGENS LTDA;905826;Bisnago Industria de;10268112000181;ANÁPOLIS;GO;METALURGIA E PRODUTOS DE METAL;SUDESTE;01/11/2016;15;CELG;1.18;386.068818;0.0;386.068818
202512;93905;COMIGO-MATRIZ ESPECIAL;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO;951473;COMIGO LOJA JATAI;02077618002390;JATAÍ;GO;COMÉRCIO;SUDESTE;01/04/2022;15;CELG;0.13;22.034605;0.0;22.034605
202512;154246;LOJAS AVENIDA SE RAIZEN;LOJAS AVENIDA S.A;1021032;LOJAS AVENIDA - 1405;00819201000620;GOIÂNIA;GO;COMÉRCIO;SUDESTE;01/12/2025;15;CELG;0.07;10.91209;0.0;10.91209
202512;99292;COMIGO-MATRIZ LIVRE;COOPERATIVA AGROINDUSTRIAL DOS PRODUTORES RURAIS DO SUDOESTE GOIANO;940398;COM- MONTES CLAROS;02077618004253;MONTES CLAROS DE GOIÁS;GO;SERVIÇOS;SUDESTE;01/12/2020;15;CELG;1.2;42.296358;0.0;42.296358
202512;116340;MOSAIC - CATALAO;MOSAIC FERTILIZANTES DO BRASIL LTDA.;909696;MOSAIC CATALAO;61156501011352;CATALÃO;GO;QUÍMICOS;SUDESTE;01/07/2017;15;CELG;0.26;23.438885;0.0;23.438885
202512;116398;MOSAIC PEK CATALAO;MOSAIC FERTILIZANTES P&K LTDA.;7080;MOSAIC FERTILIZANTES;33931486001021;CATALÃO;GO;MINERAIS NÃO-METÁLICOS;SUDESTE;01/11/2003;15;CELG;20.5;10154.383171;0.0;10154.383171
202512;64434;IGUASPORT;IGUASPORT LTDA;907174;IGUASPORT GOIANIA;02314041002393;GOIÂNIA;GO;COMÉRCIO;SUDESTE;01/01/2017;15;CELG;0.255;113.646629;0.0;113.646629
202512;37878;BRK GO;BRK AMBIENTAL - GOIAS S.A.;954608;BRK GO - EEE ALMEIDA;18123402000149;APARECIDA DE GOIÂNIA;GO;SANEAMENTO;SUDESTE;01/08/2022;15;CELG;0.14;40.642722;0.0;40.642722
202512;37878;BRK GO;BRK AMBIENTAL - GOIAS S.A.;954532;BRK GO - ETE CHAPADI;18123402000300;RIO VERDE;GO;SANEAMENTO;SUDESTE;01/08/2022;15;CELG;0.112;139.378111;0.0;139.378111
202512;70822;CRISTALINA CL;CRISTALINA ALIMENTOS LTDA;902661;CRISTALINA ALIMENTOS;10666522000180;CRISTALINA;GO;ALIMENTÍCIOS;SUDESTE;01/08/2016;15;CELG;5.0;1045.17283;0.0;1045.17283
