Rodada;NumeroArea;ProcessoMinerario;Situacao;Modalidade;RegimeDisponibilidade;Municipio;UnidadeFederacao;AreaPoligonal;ValorLanceVencedorReais;NomeVencedor;CpfCnpjVencedor
1;1;301165/2011;Livre;Proposta Fechada;Pesquisa;RIO BRANCO;Acre;18,18;0,00;;
1;1;301165/2011;Conquistada;Oferta Pública;Pesquisa;RIO BRANCO;Acre;18,18;0,00;THAUAN CHARLES DA SILVA DOMINGOS;002.***.***42
1;2;300009/2017;Conquistada;Oferta Pública;Pesquisa;ATALAIA;Alagoas;6,14;0,00;JS ENGENHARIA LTDA;238.**.***/****60
1;3;300465/2019;Conquistada;Oferta Pública;Pesquisa;SATUBA;Alagoas;30,23;0,00;;
1;4;844023/2019;Conquistada;Oferta Pública;Pesquisa;FELIZ DESERTO;Alagoas;4,53;0,00;;
1;5;300779/2018;Conquistada;Oferta Pública;Pesquisa;MANAUS;Amazonas;34,28;0,00;;
1;6;880270/2013;Conquistada;Oferta Pública;Pesquisa;MANAUS;Amazonas;33,19;0,00;ANTONIO RODRIGUES FERREIRA;531.***.***15
1;7;303012/2017;Conquistada;Oferta Pública;Pesquisa;ENTRE RIOS;Bahia;47,75;0,00;MINERACAO SAO VICENTE LTDA;065.**.***/****85
1;8;870007/2018;Aguardando Leilão;Oferta Pública;Pesquisa;CANAVIEIRAS;Bahia;48,31;0,00;;
1;8;870007/2018;Arrematada;Proposta Fechada;Pesquisa;CANAVIEIRAS;Bahia;48,31;2001,00;ALIANCA EXTRACAO DE AREIA EIRELI;104.**.***/****08
1;9;870054/2017;Conquistada;Oferta Pública;Pesquisa;CAMAÇARI;Bahia;48,08;0,00;C R X MINERACAO E TRANSPORTES EIRELI;130.**.***/****44
1;10;870064/2017;Conquistada;Oferta Pública;Pesquisa;CAMAÇARI;Bahia;48,86;0,00;C R X MINERACAO E TRANSPORTES EIRELI;130.**.***/****44
1;11;870287/2015;Livre;Oferta Pública;Pesquisa;ALAGOINHAS;Bahia;49,52;0,00;;
1;12;870322/2016;Livre;Oferta Pública;Pesquisa;BELMONTE;Bahia;47,91;0,00;;
1;13;870407/2016;Livre;Oferta Pública;Pesquisa;UMBURANAS;Bahia;47,98;0,00;;
1;14;870417/2015;Livre;Oferta Pública;Pesquisa;CURAÇÁ;Bahia;49,98;0,00;;
1;15;870611/2017;Conquistada;Oferta Pública;Pesquisa;CANSANÇÃO;Bahia;49,49;0,00;WILMAR CIPRIANO SILVA;402.***.***87
1;16;870640/2015;Livre;Oferta Pública;Pesquisa;ARAÇÁS;Bahia;49,76;0,00;;
1;17;870643/2015;Livre;Proposta Fechada;Pesquisa;CAMAÇARI;Bahia;10,82;0,00;;
1;17;870643/2015;Aguardando Leilão;Oferta Pública;Pesquisa;CAMAÇARI;Bahia;10,82;0,00;;
1;18;870733/2015;Livre;Oferta Pública;Pesquisa;MUCURI;Bahia;49,68;0,00;;
1;19;870734/2015;Livre;Oferta Pública;Pesquisa;MUCURI;Bahia;48,89;0,00;;
1;20;871022/2018;Livre;Oferta Pública;Pesquisa;RIO DO ANTÔNIO;Bahia;48,58;0,00;;
1;21;871146/2016;Livre;Oferta Pública;Pesquisa;MUCURI;Bahia;28,27;0,00;;
1;22;871156/2015;Livre;Oferta Pública;Pesquisa;CAETANOS;Bahia;49,45;0,00;;
1;23;871230/2014;Conquistada;Oferta Pública;Pesquisa;BELMONTE;Bahia;49,01;0,00;ARISTOTELES CHAVES DA SILVA;030.***.***79
1;24;871686/2016;Livre;Proposta Fechada;Pesquisa;JAGUAQUARA;Bahia;49,00;0,00;;
1;24;871686/2016;Aguardando Leilão;Oferta Pública;Pesquisa;JAGUAQUARA;Bahia;49,00;0,00;;
1;25;871780/2016;Livre;Oferta Pública;Pesquisa;PRADO;Bahia;36,65;0,00;;
1;26;871833/2015;Livre;Oferta Pública;Pesquisa;MARAÚ;Bahia;47,91;0,00;;
1;27;871877/2014;Conquistada;Oferta Pública;Pesquisa;IBICUÍ;Bahia;49,17;0,00;MINERACAO SAO VICENTE LTDA;065.**.***/****85
1;28;871922/2015;Conquistada;Oferta Pública;Pesquisa;SANTALUZ;Bahia;49,99;0,00;MINERACAO SAO VICENTE LTDA;065.**.***/****85
1;29;872020/2016;Conquistada;Oferta Pública;Pesquisa;CANAVIEIRAS;Bahia;47,82;0,00;ALIANCA EXTRACAO DE AREIA EIRELI;104.**.***/****08
1;30;872073/2017;Livre;Oferta Pública;Pesquisa;XIQU;Bahia;50,00;0,00;;
1;31;872076/2017;Livre;Oferta Pública;Pesquisa;ITAGUAÇU DA BAHIA;Bahia;49,76;0,00;;
1;32;872113/2014;Conquistada;Oferta Pública;Pesquisa;SAPEAÇU;Bahia;49,04;0,00;MINERACAO SAO VICENTE LTDA;065.**.***/****85
1;33;872236/2015;Livre;Oferta Pública;Pesquisa;SÃO GONÇALO DOS CAMPOS;Bahia;50,00;0,00;;
1;34;872723/2016;Conquistada;Oferta Pública;Pesquisa;TEOFILÂNDIA;Bahia;50,00;0,00;MINERACAO SAO VICENTE LTDA;065.**.***/****85
1;35;872724/2016;Livre;Oferta Pública;Pesquisa;ARACI;Bahia;49,00;0,00;;
1;36;300051/2019;Conquistada;Oferta Pública;Pesquisa;ITAPAJÉ;Ceará;28,86;0,00;ANTONIO HOLANDA DE OLIVEIRA NETO;824.***.***04
1;37;300086/2016;Livre;Oferta Pública;Pesquisa;SENADOR POMPEU;Ceará;6,97;0,00;;
1;38;300323/2016;Livre;Oferta Pública;Pesquisa;VARJOTA;Ceará;21,89;0,00;;
1;39;800038/2016;Conquistada;Oferta Pública;Pesquisa;IGUATU;Ceará;44,02;0,00;S. M. BATISTA LTDA;338.**.***/****50
1;40;800616/2017;Livre;Oferta Pública;Pesquisa;CARNAUBAL;Ceará;50,00;0,00;;
1;41;800618/2017;Livre;Oferta Pública;Pesquisa;SANTA QUITÉRIA;Ceará;49,57;0,00;;
1;42;800686/2015;Livre;Oferta Pública;Pesquisa;RUSSAS;Ceará;49,92;0,00;;
1;43;800727/2015;Conquistada;Oferta Pública;Pesquisa;APUIARÉS;Ceará;50,00;0,00;CARLOS BEZERRA XAVIER;837.***.***68
