IDSubstancia;NMSubstancia
100100;MINÉRIO DE ALUMÍNIO
100101;ALUMÍNIO
100102;LATERITA ALUMINOSA
100103;BAUXITA
100104;BOEHMITA
100105;GIBBSITA
100106;HIDRARGILITA
100108;DIÁSPORO
100200;MINÉRIO DE ANTIMÔNIO
100201;ANTIMÔNIO
100202;ESTIBINITA
100203;ESTIBICONITA
100204;ANTIMÔNIO NATIVO
100205;VALENTINITA
100206;BINDHEIMITA
100207;CERVANTITA
100300;MINÉRIO DE ARSÊNICO
100301;ARSÊNIO
100302;ARSENO SULFETOS
100303;LOLINGITA
100304;ARSENOPIRITA
100305;MISPÍQUEL
100306;TENNANTITA
100307;OURO PIGMENTO
100308;REALGAR
100309;ESCORODITA
100310;ENARGITA
100400;MINÉRIO DE BERÍLIO
100401;BERÍLIO
100402;BERILO
100403;FENACITA
100404;HELVITA
100405;EUCLÁSIO
100500;MINÉRIO DE BISMUTO
100501;BISMUTO
100502;BISMUTITA
100504;BISMUTINITA
100505;TETRADIMITA
100506;BISMITA
100600;MINÉRIO DE CÁDMIO
100601;CÁDMIO
100602;GREENOCKITA
100700;MINÉRIO DE CÉSIO
100701;CÉSIO
100702;POLUCITA
100703;AVOGADRITA
100704;PEGMATITO
100800;MINÉRIO DE CHUMBO
100801;CHUMBO
100802;SULFETOS DE CHUMBO
100803;CARBONATOS DE CHUMBO
100804;ÓXIDOS DE CHUMBO
100805;GALENA
100806;CERRUSITA
100807;ANGLESITA
100808;PIROMORFITA
100812;MASSICOT
100813;BOURNONITA
100814;CROCOÍTA
100815;BOULANGERITA
100816;JAMESONITA
100817;MIMETITA
100900;MINÉRIO DE COBRE
100901;COBRE
100902;SULFETOS DE COBRE
100903;ÓXIDOS DE COBRE
100904;CARBONATOS DE COBRE
100905;SILICATOS DE COBRE
100906;COBRE NATIVO
100907;CALCOPIRITA
100908;BORNITA
100909;CALCOCITA
100910;COVELITA
100911;CUBANITA
100912;CUPRITA
100913;AZURITA
100914;MALAQUITA
100915;CRISOCOLA
100916;ANTLERITA
100921;TETRAEDRITA
100923;TENORITA
100928;PIRITA DE COBRE
100929;IDAÍTA
101100;MINÉRIO DE ESTANHO
101101;ESTANHO
101102;ROCHA ESTANÍFERA
101103;ALUVIÃO ESTANÍFERO
101104;CASSITERITA
101105;ESTANITA
101106;PIRITA DE ESTANHO
101107;FRANCKEÍTA
101108;CASCALHO ESTANÍFERO
101109;PEGMATITO
101300;MINÉRIO DE FERRO
101301;FERRO
101302;HEMATITA
101304;ITABIRITO
101305;CANGA
101307;ESPECULARITA
101308;LIMONITA
101309;ÓXIDO DE FERRO
101310;JACUTINGA
101311;GOETHITA
101312;MARTITA
101313;MAGNETITA
101314;CHAPINHA
101318;FERRO-SILÍCIO-MANGANÊS
101321;SIDERITA
101322;LATERITA FERRUGINOSA
101400;MINÉRIO DE GERMÂNIO
101401;GERMÂNIO
101402;ARGIRODITA
101404;GERMANITA
101500;MINÉRIO DE HÁFNIO
101501;HÁFNIO
101600;MINÉRIO DE ÍNDIO
101601;ÍNDIO
101602;ROQUESITA
101700;MINÉRIO DE ÍTRIO
101701;ÍTRIO
101702;XENOTÍMIO
101703;XENOTIMA
101704;GADOLINITA
