mineral_id,operation_id,year,energy_intensity_mwh_t,production_basis,data_nature,source_id
MIN_001,OP_DEMO_NI_001,2023,4.8156,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,OP_DEMO_NI_001,2024,4.7571,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,OP_DEMO_NI_001,2025,4.7,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,OP_DEMO_NI_002,2023,5.3279,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,OP_DEMO_NI_002,2024,5.2632,beneficiada,estimated_demo,SRC_DEMO_001
MIN_001,OP_DEMO_NI_002,2025,5.2,beneficiada,estimated_demo,SRC_DEMO_001
MIN_002,OP_DEMO_CU_001,2023,3.1762,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,OP_DEMO_CU_001,2024,3.1377,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,OP_DEMO_CU_001,2025,3.1,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,OP_DEMO_CU_002,2023,3.6885,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,OP_DEMO_CU_002,2024,3.6437,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_002,OP_DEMO_CU_002,2025,3.6,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_003,OP_DEMO_NB_001,2023,2.2541,beneficiada,estimated_demo,SRC_DEMO_001
MIN_003,OP_DEMO_NB_001,2024,2.2267,beneficiada,estimated_demo,SRC_DEMO_001
MIN_003,OP_DEMO_NB_001,2025,2.2,beneficiada,estimated_demo,SRC_DEMO_001
MIN_004,OP_DEMO_FOS_001,2023,0.4303,beneficiada,estimated_demo,SRC_DEMO_001
MIN_004,OP_DEMO_FOS_001,2024,0.4251,beneficiada,estimated_demo,SRC_DEMO_001
MIN_004,OP_DEMO_FOS_001,2025,0.42,beneficiada,estimated_demo,SRC_DEMO_001
MIN_005,OP_DEMO_AL_001,2023,0.5943,beneficiada,estimated_demo,SRC_DEMO_001
MIN_005,OP_DEMO_AL_001,2024,0.587,beneficiada,estimated_demo,SRC_DEMO_001
MIN_005,OP_DEMO_AL_001,2025,0.58,beneficiada,estimated_demo,SRC_DEMO_001
MIN_006,OP_DEMO_AU_001,2023,28.6885,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_006,OP_DEMO_AU_001,2024,28.3401,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_006,OP_DEMO_AU_001,2025,28,conteudo_mineral,estimated_demo,SRC_DEMO_001
MIN_007,OP_DEMO_AMI_001,2023,0.9734,beneficiada,estimated_demo,SRC_DEMO_001
MIN_007,OP_DEMO_AMI_001,2024,0.9615,beneficiada,estimated_demo,SRC_DEMO_001
MIN_007,OP_DEMO_AMI_001,2025,0.95,beneficiada,estimated_demo,SRC_DEMO_001
MIN_008,OP_DEMO_APA_001,2023,0.5123,beneficiada,estimated_demo,SRC_DEMO_001
MIN_008,OP_DEMO_APA_001,2024,0.5061,beneficiada,estimated_demo,SRC_DEMO_001
MIN_008,OP_DEMO_APA_001,2025,0.5,beneficiada,estimated_demo,SRC_DEMO_001
