mineral_id,year,scenario,parameter_name,parameter_value,source_id
MIN_001,2027,conservador,existing_production_growth_rate,0.00278,SRC_DEMO_001
MIN_001,2027,conservador,project_utilization_rate,0.62,SRC_DEMO_001
MIN_001,2027,conservador,annual_efficiency_improvement_rate,0.004,SRC_DEMO_001
MIN_001,2027,conservador,market_capture_factor,0.95,SRC_DEMO_001
MIN_001,2027,referencia,existing_production_growth_rate,0.01077,SRC_DEMO_001
MIN_001,2027,referencia,project_utilization_rate,0.8,SRC_DEMO_001
MIN_001,2027,referencia,annual_efficiency_improvement_rate,0.009,SRC_DEMO_001
MIN_001,2027,referencia,market_capture_factor,1,SRC_DEMO_001
MIN_001,2027,expansao,existing_production_growth_rate,0.01978,SRC_DEMO_001
MIN_001,2027,expansao,project_utilization_rate,0.9,SRC_DEMO_001
MIN_001,2027,expansao,annual_efficiency_improvement_rate,0.014,SRC_DEMO_001
MIN_001,2027,expansao,market_capture_factor,1.06,SRC_DEMO_001
MIN_001,2028,conservador,existing_production_growth_rate,0.00278,SRC_DEMO_001
MIN_001,2028,conservador,project_utilization_rate,0.623,SRC_DEMO_001
MIN_001,2028,conservador,annual_efficiency_improvement_rate,0.004,SRC_DEMO_001
MIN_001,2028,conservador,market_capture_factor,0.951,SRC_DEMO_001
MIN_001,2028,referencia,existing_production_growth_rate,0.01077,SRC_DEMO_001
MIN_001,2028,referencia,project_utilization_rate,0.803,SRC_DEMO_001
MIN_001,2028,referencia,annual_efficiency_improvement_rate,0.009,SRC_DEMO_001
MIN_001,2028,referencia,market_capture_factor,1.001,SRC_DEMO_001
MIN_001,2028,expansao,existing_production_growth_rate,0.01978,SRC_DEMO_001
MIN_001,2028,expansao,project_utilization_rate,0.903,SRC_DEMO_001
MIN_001,2028,expansao,annual_efficiency_improvement_rate,0.014,SRC_DEMO_001
MIN_001,2028,expansao,market_capture_factor,1.061,SRC_DEMO_001
MIN_001,2029,conservador,existing_production_growth_rate,0.00278,SRC_DEMO_001
MIN_001,2029,conservador,project_utilization_rate,0.626,SRC_DEMO_001
MIN_001,2029,conservador,annual_efficiency_improvement_rate,0.004,SRC_DEMO_001
MIN_001,2029,conservador,market_capture_factor,0.952,SRC_DEMO_001
MIN_001,2029,referencia,existing_production_growth_rate,0.01077,SRC_DEMO_001
MIN_001,2029,referencia,project_utilization_rate,0.806,SRC_DEMO_001
MIN_001,2029,referencia,annual_efficiency_improvement_rate,0.009,SRC_DEMO_001
MIN_001,2029,referencia,market_capture_factor,1.002,SRC_DEMO_001
MIN_001,2029,expansao,existing_production_growth_rate,0.01978,SRC_DEMO_001
MIN_001,2029,expansao,project_utilization_rate,0.906,SRC_DEMO_001
MIN_001,2029,expansao,annual_efficiency_improvement_rate,0.014,SRC_DEMO_001
MIN_001,2029,expansao,market_capture_factor,1.062,SRC_DEMO_001
MIN_001,2030,conservador,existing_production_growth_rate,0.00278,SRC_DEMO_001
MIN_001,2030,conservador,project_utilization_rate,0.629,SRC_DEMO_001
MIN_001,2030,conservador,annual_efficiency_improvement_rate,0.004,SRC_DEMO_001
MIN_001,2030,conservador,market_capture_factor,0.953,SRC_DEMO_001
MIN_001,2030,referencia,existing_production_growth_rate,0.01077,SRC_DEMO_001
MIN_001,2030,referencia,project_utilization_rate,0.809,SRC_DEMO_001
MIN_001,2030,referencia,annual_efficiency_improvement_rate,0.009,SRC_DEMO_001
MIN_001,2030,referencia,market_capture_factor,1.003,SRC_DEMO_001
MIN_001,2030,expansao,existing_production_growth_rate,0.01978,SRC_DEMO_001
MIN_001,2030,expansao,project_utilization_rate,0.909,SRC_DEMO_001
MIN_001,2030,expansao,annual_efficiency_improvement_rate,0.014,SRC_DEMO_001
MIN_001,2030,expansao,market_capture_factor,1.063,SRC_DEMO_001
MIN_001,2031,conservador,existing_production_growth_rate,0.00278,SRC_DEMO_001
MIN_001,2031,conservador,project_utilization_rate,0.632,SRC_DEMO_001
MIN_001,2031,conservador,annual_efficiency_improvement_rate,0.004,SRC_DEMO_001
MIN_001,2031,conservador,market_capture_factor,0.954,SRC_DEMO_001
MIN_001,2031,referencia,existing_production_growth_rate,0.01077,SRC_DEMO_001
MIN_001,2031,referencia,project_utilization_rate,0.812,SRC_DEMO_001
MIN_001,2031,referencia,annual_efficiency_improvement_rate,0.009,SRC_DEMO_001
MIN_001,2031,referencia,market_capture_factor,1.004,SRC_DEMO_001
MIN_001,2031,expansao,existing_production_growth_rate,0.01978,SRC_DEMO_001
MIN_001,2031,expansao,project_utilization_rate,0.912,SRC_DEMO_001
MIN_001,2031,expansao,annual_efficiency_improvement_rate,0.014,SRC_DEMO_001
MIN_001,2031,expansao,market_capture_factor,1.064,SRC_DEMO_001
MIN_001,2032,conservador,existing_production_growth_rate,0.00278,SRC_DEMO_001
MIN_001,2032,conservador,project_utilization_rate,0.635,SRC_DEMO_001
MIN_001,2032,conservador,annual_efficiency_improvement_rate,0.004,SRC_DEMO_001
MIN_001,2032,conservador,market_capture_factor,0.955,SRC_DEMO_001
MIN_001,2032,referencia,existing_production_growth_rate,0.01077,SRC_DEMO_001
MIN_001,2032,referencia,project_utilization_rate,0.815,SRC_DEMO_001
MIN_001,2032,referencia,annual_efficiency_improvement_rate,0.009,SRC_DEMO_001
MIN_001,2032,referencia,market_capture_factor,1.005,SRC_DEMO_001
