ano,cenario_preco,cenario_demanda,demanda_mwh,preco_brl_mwh,custo_brl,data_nature,source_id
2027,conservador,conservador,3276873.931,370.75,1214901009.92,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2028,conservador,conservador,3293258.301,380.83,1254171558.77,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2029,conservador,conservador,3309724.593,390.34,1291917897.63,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2030,conservador,conservador,3326273.216,399.35,1328347208.81,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2031,conservador,conservador,3342904.582,407.9,1363570779.0,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2032,conservador,conservador,3359619.104,416.07,1397836720.6,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2033,conservador,conservador,3376417.2,423.9,1431263251.08,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2034,conservador,conservador,3393299.286,431.44,1464005043.95,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2035,conservador,conservador,3410265.782,438.73,1496185906.54,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2036,conservador,conservador,3427317.111,445.77,1527795148.57,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2037,conservador,conservador,3444453.697,452.65,1559131965.95,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2038,conservador,conservador,3461675.965,459.36,1590155471.28,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2039,conservador,conservador,3478984.345,465.96,1621067545.4,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2040,conservador,conservador,3496379.267,472.43,1651794457.11,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2027,conservador,referencia,3309479.642,370.75,1226989577.27,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2028,conservador,referencia,3359121.837,380.83,1279254369.18,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2029,conservador,referencia,3409508.664,390.34,1330867611.91,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2030,conservador,referencia,3460651.294,399.35,1382011094.26,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2031,conservador,referencia,3512561.064,407.9,1432773658.01,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2032,conservador,referencia,3565249.48,416.07,1483393351.14,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2033,conservador,referencia,3618728.222,423.9,1533978893.31,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2034,conservador,referencia,3673009.145,431.44,1584683065.52,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2035,conservador,referencia,3728104.282,438.73,1635631191.64,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2036,conservador,referencia,3784025.847,445.77,1686805201.82,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2037,conservador,referencia,3840786.234,452.65,1738531888.82,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2038,conservador,referencia,3898398.028,459.36,1790768118.14,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2039,conservador,referencia,3956873.998,465.96,1843745008.11,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2040,conservador,referencia,4016227.108,472.43,1897386172.63,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2027,conservador,expansao,3358388.208,370.75,1245122428.12,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2028,conservador,expansao,3459139.855,380.83,1317344230.98,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2029,conservador,expansao,3562914.05,390.34,1390747870.28,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2030,conservador,expansao,3669801.472,399.35,1465535217.84,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2031,conservador,expansao,3779895.516,407.9,1541819380.98,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2032,conservador,expansao,3893292.381,416.07,1619882160.96,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2033,conservador,expansao,4010091.153,423.9,1699877639.76,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2034,conservador,expansao,4130393.887,431.44,1782017138.61,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2035,conservador,expansao,4254305.704,438.73,1866491541.52,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2036,conservador,expansao,4381934.875,445.77,1953335109.23,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2037,conservador,expansao,4513392.921,452.65,2042987305.69,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2038,conservador,expansao,4648794.709,459.36,2135470337.53,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2039,conservador,expansao,4788258.55,465.96,2231136953.96,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2040,conservador,expansao,4931906.307,472.43,2329980496.62,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2027,referencia,conservador,3276873.931,361.99,1186195594.28,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2028,referencia,conservador,3293258.301,363.86,1198284965.4,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2029,referencia,conservador,3309724.593,365.64,1210167700.18,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2030,referencia,conservador,3326273.216,367.33,1221839940.43,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
