ano,cenario,energia,uso_de_rede,encargos_e_perdas,total_brl_mwh,moeda,data_nature,source_id
2027,conservador,187.75,121.8,61.2,370.75,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2028,conservador,194.78,123.63,62.42,380.83,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2029,conservador,201.19,125.48,63.67,390.34,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2030,conservador,207.04,127.36,64.95,399.35,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2031,conservador,212.39,129.27,66.24,407.9,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2032,conservador,217.29,131.21,67.57,416.07,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2033,conservador,221.8,133.18,68.92,423.9,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2034,conservador,225.96,135.18,70.3,431.44,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2035,conservador,229.81,137.21,71.71,438.73,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2036,conservador,233.37,139.26,73.14,445.77,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2037,conservador,236.7,141.35,74.6,452.65,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2038,conservador,239.8,143.47,76.09,459.36,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2039,conservador,242.71,145.63,77.62,465.96,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2040,conservador,245.45,147.81,79.17,472.43,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2027,referencia,181.09,120.6,60.3,361.99,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2028,referencia,182.06,121.2,60.6,363.86,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2029,referencia,182.93,121.81,60.9,365.64,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2030,referencia,183.7,122.42,61.21,367.33,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2031,referencia,184.39,123.03,61.52,368.94,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2032,referencia,185.0,123.65,61.82,370.47,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2033,referencia,185.55,124.26,62.13,371.94,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2034,referencia,186.03,124.88,62.44,373.35,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2035,referencia,186.46,125.51,62.75,374.72,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2036,referencia,186.85,126.14,63.07,376.06,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2037,referencia,187.19,126.77,63.38,377.34,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2038,referencia,187.5,127.4,63.7,378.6,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2039,referencia,187.77,128.04,64.02,379.83,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2040,referencia,188.02,128.68,64.34,381.04,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2027,expansao,175.98,120.0,59.7,355.68,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2028,expansao,172.31,120.0,59.4,351.71,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2029,expansao,168.97,120.0,59.1,348.07,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2030,expansao,165.92,120.0,58.81,344.73,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2031,expansao,163.12,120.0,58.51,341.63,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2032,expansao,160.56,120.0,58.22,338.78,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2033,expansao,158.19,120.0,57.93,336.12,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2034,expansao,156.01,120.0,57.64,333.65,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2035,expansao,153.99,120.0,57.35,331.34,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2036,expansao,152.12,120.0,57.07,329.19,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2037,expansao,150.37,120.0,56.78,327.15,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2038,expansao,148.74,120.0,56.5,325.24,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2039,expansao,147.22,120.0,56.21,323.43,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
2040,expansao,145.79,120.0,55.93,321.72,BRL reais 2026,premissa_ilustrativa,SRC_PREMISSA_ILUSTRATIVA
