id;empresa;grupo;operacao;nivel;municipios;uf;mineral;produto;valor;valor_max;unidade;medida;periodo_tipo;periodo;escopo;tipo_valor;confianca;fonte_nome;fonte_url;fonte_tipo;coleta_metodo;coleta_data;status_validacao;observacao
PRD_0001;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Cobre;cobre em concentrado;43974;;t;metal_em_concentrado;ano;2025;operacao_goias;realizado;alta;Lundin Mining — 2025 Production Results and 2026 Guidance;https://lundinmining.com/news/lundin-mining-announces-2025-production-results-and-2026-guidance/;ri_empresa;busca_web;2026-09-18;nao_validado;A empresa atribui o resultado a teores consistentes e alta moagem no ano.
PRD_0002;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Cobre;cobre em concentrado;12600;;t;metal_em_concentrado;trimestre;2025-Q3;operacao_goias;realizado;media;Lundin Mining — Third Quarter 2025 Results;https://lundinmining.com/news/lundin-mining-reports-third-quarter-2025-results-a-123218/;ri_empresa;busca_web;2026-09-18;nao_validado;
PRD_0003;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Ouro;ouro em concentrado;17864;;oz;metal_em_concentrado;trimestre;2025-Q3;operacao_goias;realizado;media;Lundin Mining — Third Quarter 2025 Results;https://lundinmining.com/news/lundin-mining-reports-third-quarter-2025-results-a-123218/;ri_empresa;busca_web;2026-09-18;nao_validado;"Onça troy. O ouro de Chapada é subproduto do concentrado de cobre. O total anual de 2025 de ouro não foi localizado na coleta; é a primeira pendência do agente."
PRD_0004;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Ouro;ouro em concentrado;17544;;oz;metal_em_concentrado;trimestre;2025-Q2;operacao_goias;realizado;media;Lundin Mining — Second Quarter 2025 Results;https://lundinmining.com/news/lundin-mining-reports-second-quarter-2025-results-123210/;ri_empresa;busca_web;2026-09-18;nao_validado;Onça troy.
PRD_0005;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Cobre;cobre em concentrado;45000;50000;t;metal_em_concentrado;ano;2026;operacao_goias;guidance;alta;Lundin Mining — 2025 Production Results and 2026 Guidance;https://lundinmining.com/news/lundin-mining-announces-2025-production-results-and-2026-guidance/;ri_empresa;busca_web;2026-09-18;nao_validado;Faixa de guidance, não realização. Elevada em ~5.000 t ante o guidance anterior.
PRD_0006;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Cobre;cobre em concentrado;43261;;t;metal_em_concentrado;ano;2024;operacao_goias;realizado;alta;Lundin Mining — Record Production Results for 2024 and 2025 Guidance;https://lundinmining.com/news/lundin-mining-announces-record-production-results-123181/;ri_empresa;busca_web;2026-09-18;nao_validado;Dentro da faixa de guidance de 2024 divulgada pela companhia.
PRD_0007;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Ouro;ouro em concentrado;65000;;oz;metal_em_concentrado;ano;2024;operacao_goias;realizado;media;Lundin Mining — Record Production Results for 2024 and 2025 Guidance;https://lundinmining.com/news/lundin-mining-announces-record-production-results-123181/;ri_empresa;busca_web;2026-09-18;nao_validado;"Publicado como ""aproximadamente 65.000 onças"": o número é arredondado na origem."
PRD_0008;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Cobre;cobre em concentrado;45719;;t;metal_em_concentrado;ano;2023;operacao_goias;realizado;alta;Lundin Mining — 2024 Guidance & 2023 Production Results;https://lundinmining.com/news/lundin-mining-provides-2024-guidance-announces-2-123140/;ri_empresa;busca_web;2026-09-18;nao_validado;
PRD_0009;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Ouro;ouro em concentrado;59268;;oz;metal_em_concentrado;ano;2023;operacao_goias;realizado;alta;Lundin Mining — 2024 Guidance & 2023 Production Results;https://lundinmining.com/news/lundin-mining-provides-2024-guidance-announces-2-123140/;ri_empresa;busca_web;2026-09-18;nao_validado;
PRD_0010;MINERACAO MARACA INDUSTRIA E COMERCIO S/A;Lundin Mining Corporation;Chapada;empresa;"Alto Horizonte; Nova Iguaçu de Goiás";GO;Cobre;cobre em concentrado;45739;;t;metal_em_concentrado;ano;2022;operacao_goias;realizado;media;Lundin Mining — 2022 Production Results and 2023 Guidance;https://www.lundinmining.com/news/lundin-mining-announces-2022-production-results--provides-2023-guidance;ri_empresa;busca_web;2026-09-18;nao_validado;
